subjects;time;condition;modulation_evoked;amplitude_evoked;RDK_electrodes
7;[250 1000]ms;primed;7.60993928024449;4.78843182632604;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
7;[1000 1750]ms;primed;2.4585187107427;4.53298794076205;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
7;[250 1000]ms;nonprimed;-6.58752369143299;4.5862299677023;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
7;[1000 1750]ms;nonprimed;0.221219504412097;4.82010985690703;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
7;[250 1000]ms;not attended;-17.9643279121504;3.78445995468454;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
7;[1000 1750]ms;not attended;-12.422611214451;3.99818454903016;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[250 1000]ms;primed;29.7691300775587;4.4984915854595;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[1000 1750]ms;primed;3.26744722418769;3.77398178053066;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[250 1000]ms;nonprimed;-11.9034882796179;3.03523895830633;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[1000 1750]ms;nonprimed;4.05979821444377;3.55366551302553;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[250 1000]ms;not attended;-13.901943991684;2.97304191745024;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
8;[1000 1750]ms;not attended;-17.5121534452406;2.95915818419243;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[250 1000]ms;primed;10.1388477279558;2.28729986161301;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[1000 1750]ms;primed;-9.68549796559966;1.86554224220748;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[250 1000]ms;nonprimed;-17.3573713466474;1.53860701891974;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[1000 1750]ms;nonprimed;-10.7369308348784;1.68448683158639;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[250 1000]ms;not attended;-18.6451260912459;1.54180691373307;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
9;[1000 1750]ms;not attended;-9.4344314209784;1.72693980108831;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[250 1000]ms;primed;18.1167315879638;2.78798899945525;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[1000 1750]ms;primed;16.2429438399285;2.85481100721458;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[250 1000]ms;nonprimed;-8.1827369776788;2.61830323053799;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[1000 1750]ms;nonprimed;4.4880628020493;2.80395192501881;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[250 1000]ms;not attended;-4.89737210077109;2.57606383041828;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
10;[1000 1750]ms;not attended;-7.99118695635976;2.40183002698872;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[250 1000]ms;primed;3.97231456094591;3.05081804388577;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[1000 1750]ms;primed;0.14319818126377;2.90808797415179;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[250 1000]ms;nonprimed;-7.46117799880169;2.79578675191427;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[1000 1750]ms;nonprimed;-6.46280604867181;2.83688733258198;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[250 1000]ms;not attended;-7.49076795168349;2.52210275373098;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
11;[1000 1750]ms;not attended;-10.610327007025;2.45125845002964;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[250 1000]ms;primed;9.56710263707793;1.5601356496516;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[1000 1750]ms;primed;4.88732570225431;1.50209689222251;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[250 1000]ms;nonprimed;-9.52980394379789;1.31797733298692;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[1000 1750]ms;nonprimed;2.97301392620781;1.49920463049944;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[250 1000]ms;not attended;-6.49137679899681;1.31266549956758;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
12;[1000 1750]ms;not attended;-5.03176174049115;1.3339049127913;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[250 1000]ms;primed;23.3503359396433;2.40714436871899;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[1000 1750]ms;primed;8.47200470855556;2.01667179971216;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[250 1000]ms;nonprimed;6.36370432581689;1.81626783736383;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[1000 1750]ms;nonprimed;17.7790512481506;1.98803892004531;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[250 1000]ms;not attended;6.90456474359912;1.8588110638648;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
13;[1000 1750]ms;not attended;-2.04265982670473;1.69500402527576;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
14;[250 1000]ms;primed;9.52185905348394;2.69990322516137;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
14;[1000 1750]ms;primed;-2.76157146630828;2.47802622047896;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
