amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subtraction_induced;subtraction_evoked;subjects;condition;time;RDK_id;RDK_position;RDK_freq;RDK_color;RDK_isattended;RDK_isprimed;RDK_electrodes
6.3918435519637;3.53733629069177;0;0;0;0;1;1;[-1 0] ;RDK1;center;17;orange;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.33773786557746;1.67079806287364;0;0;0;0;1;1;[-1 0] ;RDK2;center;20;blau;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.26108663869659;0.742048232870943;0;0;0;0;1;1;[-1 0] ;RDK3;center;23;grün;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
6.24749608708723;3.55635033797355;0;0;0;0;1;2;[-1 0] ;RDK1;center;17;orange;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.29544151854191;1.60568609402191;0;0;0;0;1;2;[-1 0] ;RDK2;center;20;blau;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.16747610385601;0.586898548300989;0;0;0;0;1;2;[-1 0] ;RDK3;center;23;grün;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
6.43435481123255;3.81461813546953;0;0;0;0;1;3;[-1 0] ;RDK1;center;17;orange;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.2611056161682;1.6036121761637;0;0;0;0;1;3;[-1 0] ;RDK2;center;20;blau;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.17008651112;0.54678282381048;0;0;0;0;1;3;[-1 0] ;RDK3;center;23;grün;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
5.50143717640665;3.46348706980097;-13.9303530869979;-2.08770709997614;-0.89040637555705;-0.0738492208908048;1;1;[0.5 1.5] ;RDK1;center;17;orange;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.01651129463679;1.79987807996672;-7.4053937996067;7.72565039194939;-0.321226570940665;0.12908001709308;1;1;[0.5 1.5] ;RDK2;center;20;blau;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.11050153641679;0.848073114367092;-4.61763574426185;14.2881388027763;-0.150585102279801;0.106024881496149;1;1;[0.5 1.5] ;RDK3;center;23;grün;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
5.0704987879792;3.2087462215402;-18.8395043822554;-9.77418092705161;-1.17699729910803;-0.347604116433346;1;2;[0.5 1.5] ;RDK1;center;17;orange;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.93126512005318;2.00288589426835;-8.47820641758732;24.737076675525;-0.364176398488731;0.397199800246441;1;2;[0.5 1.5] ;RDK2;center;20;blau;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.00731903125797;0.757476428110675;-5.05629931676729;29.064287227067;-0.160157072598039;0.170577879809686;1;2;[0.5 1.5] ;RDK3;center;23;grün;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
5.37387042455544;3.4964071938355;-16.4815963338828;-8.34188194816148;-1.06048438667712;-0.318210941634027;1;3;[0.5 1.5] ;RDK1;center;17;orange;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.10653764953441;2.03281245026653;-3.62741458571936;26.7645931156246;-0.154567966633792;0.429200274102828;1;3;[0.5 1.5] ;RDK2;center;20;blau;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
2.93749682773832;0.621840529042671;-7.337013755486;13.7271512497632;-0.232589683381681;0.0750577052321909;1;3;[0.5 1.5] ;RDK3;center;23;grün;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
5.55926499107844;3.5781009760917;-13.0256404762829;1.15241192948492;-0.832578560885262;0.0407646853999317;1;1;[1 2] ;RDK1;center;17;orange;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
4.09517160368181;1.91009451496116;-5.59199908829322;14.3222845061206;-0.242566261895641;0.239296452087514;1;1;[1 2] ;RDK2;center;20;blau;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.1178246644827;0.787535074542011;-4.39307476575197;6.12990364454904;-0.143261974213889;0.0454868416710676;1;1;[1 2] ;RDK3;center;23;grün;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
5.23698724772596;3.14312447465923;-16.1746214047234;-11.6193800959942;-1.01050883936127;-0.413225863314322;1;2;[1 2] ;RDK1;center;17;orange;not attended;not attended;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.7903156873867;1.63263253847398;-11.7595788226837;1.67818881613302;-0.505125831155216;0.0269464444520786;1;2;[1 2] ;RDK2;center;20;blau;attended;primed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
3.0194514493597;0.832874351901706;-4.67326823132486;41.911128305359;-0.14802465449631;0.245975803600717;1;2;[1 2] ;RDK3;center;23;grün;attended;nonprimed;{'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'}
