amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subtraction_induced;subtraction_evoked;subjects;condition;time;RDK_id;RDK_position;RDK_freq;RDK_color;RDK_isattended;RDK_isprimed;RDK_electrodes
3.78866573198307;1.62463820192235;-13.7386395359855;-3.94437083193462;-0.603411684374838;-0.0667131701870076;1;2;[1 2] ;RDK2;center;20;blau;attended;primed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
2.95133282305926;0.83494644563579;-4.50438765798238;39.8325812577925;-0.139210030877378;0.237842081169758;1;2;[1 2] ;RDK3;center;23;grün;attended;nonprimed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
5.51195539102046;3.60333242571566;-15.5954412354363;-2.50963532166651;-1.01844471022928;-0.0927584009057671;1;3;[1 2] ;RDK1;center;17;orange;attended;nonprimed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
4.01257562919481;2.08873551590203;-7.66685948902738;25.9595150082201;-0.333183225089981;0.430476101545187;1;3;[1 2] ;RDK2;center;20;blau;not attended;not attended;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
2.94711719321076;0.587004407755369;-5.69467995636773;0.668833995663864;-0.177963334427783;0.00390000050589878;1;3;[1 2] ;RDK3;center;23;grün;attended;primed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
5.89166605684179;1.88063740624479;0;0;0;0;2;1;[-1 0] ;RDK1;center;17;grün;attended;primed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
4.93191130626836;1.51723208071212;0;0;0;0;2;1;[-1 0] ;RDK2;center;23;orange;attended;nonprimed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
6.20551587279732;2.99449115286212;0;0;0;0;2;1;[-1 0] ;RDK3;center;20;blau;not attended;not attended;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
5.58853737701326;1.32351084661907;0;0;0;0;2;2;[-1 0] ;RDK1;center;17;grün;not attended;not attended;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
4.45327177555603;1.40368679024764;0;0;0;0;2;2;[-1 0] ;RDK2;center;23;orange;attended;primed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
5.74769977705013;2.13930202103578;0;0;0;0;2;2;[-1 0] ;RDK3;center;20;blau;attended;nonprimed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
5.67968892486843;2.04089029618269;0;0;0;0;2;3;[-1 0] ;RDK1;center;17;grün;attended;nonprimed;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
4.47395843867014;1.51314260762119;0;0;0;0;2;3;[-1 0] ;RDK2;center;23;orange;not attended;not attended;{'P5','PO3','PO7','O1','I1','POz','Oz','Iz','P6','PO4','PO8','O2','I2'}
