time;condition;participant;SSVEP_mod
-998.538973776848;primed;1;19.5540541013082
-990.734103215249;primed;1;19.8226129213969
-982.929232653649;primed;1;20.0844291051229
-975.12436209205;primed;1;20.3304691314697
-967.319491530451;primed;1;20.5590888659159
-959.514620968851;primed;1;20.7690401077271
-951.709750407252;primed;1;20.9591464996338
-943.904879845653;primed;1;21.1281863848368
-936.100009284054;primed;1;21.2749319076538
-928.295138722454;primed;1;21.3981467882792
-920.490268160855;primed;1;21.4966370264689
-912.685397599256;primed;1;21.5692914326986
-904.880527037657;primed;1;21.6150598526001
-897.075656476058;primed;1;21.6330521901449
-889.270785914458;primed;1;21.6224983533223
-881.465915352859;primed;1;21.5827940305074
-873.66104479126;primed;1;21.5135099093119
-865.85617422966;primed;1;21.4144185384115
-858.051303668061;primed;1;21.2854385375977
-850.246433106462;primed;1;21.1267916361491
-842.441562544863;primed;1;20.9388376871745
-834.636691983264;primed;1;20.7222142219543
-826.831821421664;primed;1;20.477819442749
-819.026950860065;primed;1;20.2068090438843
-811.222080298466;primed;1;19.9106532732646
-803.417209736867;primed;1;19.5911846160889
-795.612339175267;primed;1;19.2506113052368
-787.807468613668;primed;1;18.8916083971659
-780.002598052069;primed;1;18.5171724955241
-772.19772749047;primed;1;18.1303464571635
-764.39285692887;primed;1;17.7337250709534
-756.587986367271;primed;1;17.3291131655375
-748.783115805672;primed;1;16.9174078305562
-740.978245244072;primed;1;16.4990825653076
-733.173374682473;primed;1;16.0745816230774
-725.368504120874;primed;1;15.6444942156474
-717.563633559275;primed;1;15.2095953623454
-709.758762997675;primed;1;14.7708417574565
-701.953892436076;primed;1;14.329314549764
-694.149021874477;primed;1;13.886150042216
-686.344151312878;primed;1;13.442416826884
-678.539280751278;primed;1;12.9991966883341
-670.734410189679;primed;1;12.5574747721354
-662.92953962808;primed;1;12.1180493036906
-655.124669066481;primed;1;11.6815015474955
-647.319798504881;primed;1;11.2481953303019
-639.514927943282;primed;1;10.8181479771932
-631.710057381683;primed;1;10.3910641670227
-623.905186820084;primed;1;9.96634578704834
-616.100316258484;primed;1;9.54317220052083
-608.295445696885;primed;1;9.12057177225749
-600.490575135286;primed;1;8.69748576482137
-592.685704573686;primed;1;8.27289009094238
-584.880834012087;primed;1;7.84583902359009
-577.075963450488;primed;1;7.41550922393799
-569.271092888889;primed;1;6.98127333323161
-561.466222327289;primed;1;6.54271030426025
-553.66135176569;primed;1;6.09963750839233
-545.856481204091;primed;1;5.65209786097209
-538.051610642492;primed;1;5.20040607452393
-530.246740080893;primed;1;4.74512195587158
-522.441869519293;primed;1;4.28707615534465
-514.636998957694;primed;1;3.82734537124634
-506.832128396095;primed;1;3.36726721127828
-499.027257834495;primed;1;2.90840864181519
-491.222387272896;primed;1;2.45253443717957
-483.417516711297;primed;1;2.00165510177612
-475.612646149698;primed;1;1.5579244295756
-467.807775588099;primed;1;1.12369060516357
-460.002905026499;primed;1;0.701389789581299
-452.1980344649;primed;1;0.293600559234619
-444.393163903301;primed;1;-0.0969985326131185
-436.588293341701;primed;1;-0.467634201049805
-428.783422780102;primed;1;-0.815308094024658
-420.978552218503;primed;1;-1.13669840494792
-413.173681656904;primed;1;-1.42773787180583
-405.368811095304;primed;1;-1.68297290802002
-397.563940533705;primed;1;-1.89465872446696
-389.759069972106;primed;1;-2.05360651016235
-381.954199410507;primed;1;-2.15390332539876
-374.149328848907;primed;1;-2.19736695289612
-366.344458287308;primed;1;-2.19061970710754
-358.539587725709;primed;1;-2.13972934087118
-350.73471716411;primed;1;-2.04880237579346
-342.92984660251;primed;1;-1.92052721977234
-335.124976040911;primed;1;-1.75690650939941
-327.320105479312;primed;1;-1.55959924062093
-319.515234917712;primed;1;-1.33011738459269
-311.710364356113;primed;1;-1.06993317604065
-303.905493794514;primed;1;-0.780429442723592
-296.100623232915;primed;1;-0.463028748830159
-288.295752671315;primed;1;-0.119016567866007
-280.490882109716;primed;1;0.250327587127686
-272.686011548117;primed;1;0.643855253855387
-264.881140986518;primed;1;1.06050364176432
-257.076270424918;primed;1;1.49937470753988
-249.271399863319;primed;1;1.95969343185425
-241.46652930172;primed;1;2.44085804621379
-233.661658740121;primed;1;2.94239719708761
-225.856788178521;primed;1;3.46403129895528
-218.051917616922;primed;1;4.00560474395752
-210.247047055323;primed;1;4.56710076332092
-202.442176493724;primed;1;5.14861726760864
-194.637305932124;primed;1;5.75038615862529
-186.832435370525;primed;1;6.37269846598307
-179.027564808926;primed;1;7.01590204238892
-171.222694247327;primed;1;7.68044169743856
-163.417823685727;primed;1;8.36678568522135
-155.612953124128;primed;1;9.07539319992065
-147.808082562529;primed;1;9.80679559707642
-140.00321200093;primed;1;10.561456044515
-132.19834143933;primed;1;11.3398412068685
-124.393470877731;primed;1;12.1423247655233
-116.588600316132;primed;1;12.9691955248515
-108.783729754533;primed;1;13.8206677436829
-100.978859192933;primed;1;14.6967585086823
-93.1739886313341;primed;1;15.5973003705343
-85.3691180697348;primed;1;16.5218388239543
-77.5642475081355;primed;1;17.4696564674377
-69.7593769465363;primed;1;18.4396306673686
-61.954506384937;primed;1;19.4302167892456
-54.1496358233378;primed;1;20.4393858909607
-46.3447652617385;primed;1;21.464598496755
-38.5398947001393;primed;1;22.5028667449951
-30.73502413854;primed;1;23.5507651964823
-22.9301535769407;primed;1;24.6044438680013
-15.1252830153415;primed;1;25.6598240534465
-7.32041245374224;primed;1;26.7125198046366
0.484458107857039;primed;1;27.7580951054891
8.28932866945629;primed;1;28.7919556299845
16.0941992310556;primed;1;29.8095417022705
23.8990697926548;primed;1;30.8063062032064
31.7039403542541;primed;1;31.7777665456136
39.5088109158533;primed;1;32.7196235656738
47.3136814774526;primed;1;33.6277211507161
55.1185520390518;primed;1;34.4980866114298
62.9234226006511;primed;1;35.3270298639933
70.7282931622504;primed;1;36.1111396153768
78.5331637238496;primed;1;36.8472684224447
86.3380342854489;primed;1;37.5326067606608
94.1429048470481;primed;1;38.1646947860718
101.947775408647;primed;1;38.7413864135742
109.752645970247;primed;1;39.2609704335531
117.557516531846;primed;1;39.7220522562663
125.362387093445;primed;1;40.1237316131592
133.167257655044;primed;1;40.4653854370117
140.972128216644;primed;1;40.7469660441081
148.776998778243;primed;1;40.9688040415446
156.581869339842;primed;1;41.1316235860189
164.386739901441;primed;1;41.2366307576497
172.191610463041;primed;1;41.2854270935059
179.99648102464;primed;1;41.2800038655599
187.801351586239;primed;1;41.2227363586426
195.606222147838;primed;1;41.1163336435954
203.411092709438;primed;1;40.9638112386068
211.215963271037;primed;1;40.7684078216553
219.020833832636;primed;1;40.5336691538493
226.825704394236;primed;1;40.2632401784261
234.630574955835;primed;1;39.9609120686849
242.435445517434;primed;1;39.6306158701579
250.240316079033;primed;1;39.2762616475423
258.045186640632;primed;1;38.9017887115479
265.850057202232;primed;1;38.5110982259115
273.654927763831;primed;1;38.1080017089844
281.45979832543;primed;1;37.6962070465088
289.26466888703;primed;1;37.2792116800944
297.069539448629;primed;1;36.8604386647542
304.874410010228;primed;1;36.4429715474447
312.679280571827;primed;1;36.029748916626
320.484151133427;primed;1;35.6233762105306
328.289021695026;primed;1;35.2262344360352
336.093892256625;primed;1;34.8403345743815
343.898762818224;primed;1;34.4673868815104
351.703633379824;primed;1;34.1087023417155
359.508503941423;primed;1;33.7652804056803
367.313374503022;primed;1;33.43767674764
375.118245064621;primed;1;33.1261723836263
382.923115626221;primed;1;32.8306039174398
390.72798618782;primed;1;32.5505727132161
398.532856749419;primed;1;32.2853654225667
406.337727311018;primed;1;32.0340906778971
414.142597872618;primed;1;31.7956523895264
421.947468434217;primed;1;31.5688959757487
429.752338995816;primed;1;31.3525676727295
437.557209557415;primed;1;31.1453739802043
445.362080119015;primed;1;30.9460763931274
453.166950680614;primed;1;30.7534287770589
460.971821242213;primed;1;30.5662714640299
468.776691803812;primed;1;30.3834953308105
476.581562365412;primed;1;30.2041091918945
484.38643386084;primed;1;30.0272026062012
492.191310970877;primed;1;29.8519331614176
499.996189029123;primed;1;29.6775652567546
507.80106613916;primed;1;29.5035247802734
515.605937634588;primed;1;29.3291886647542
523.410808196188;primed;1;29.154057820638
531.215678757787;primed;1;28.9776449203491
539.020549319386;primed;1;28.7994941075643
546.825419880985;primed;1;28.6191418965658
554.630290442585;primed;1;28.4360891977946
562.435161004184;primed;1;28.2497882843018
570.240031565783;primed;1;28.0596570968628
578.044902127382;primed;1;27.8650321960449
585.849772688982;primed;1;27.6652490297953
593.654643250581;primed;1;27.459533850352
601.45951381218;primed;1;27.2471237182617
609.264384373779;primed;1;27.0272534688314
617.069254935379;primed;1;26.7991504669189
624.874125496978;primed;1;26.5621058146159
632.678996058577;primed;1;26.3154187202454
640.483866620177;primed;1;26.0584314664205
648.288737181776;primed;1;25.7905761400859
656.093607743375;primed;1;25.5112799008687
663.898478304974;primed;1;25.2200756072998
671.703348866573;primed;1;24.916469891866
679.508219428173;primed;1;24.6000165939331
687.313089989772;primed;1;24.2703717549642
695.117960551371;primed;1;23.9271485010783
702.92283111297;primed;1;23.5700640678406
710.72770167457;primed;1;23.1989107131958
718.532572236169;primed;1;22.8136345545451
726.337442797768;primed;1;22.4142831166585
734.142313359367;primed;1;22.0011590321859
741.947183920967;primed;1;21.5746959050496
749.752054482566;primed;1;21.1356520652771
757.556925044165;primed;1;20.6849255561829
765.361795605765;primed;1;20.2236766815186
773.166666167364;primed;1;19.7532533009847
780.971536728963;primed;1;19.27508131663
788.776407290562;primed;1;18.7906424204508
796.581277852162;primed;1;18.3013280232747
804.386148413761;primed;1;17.8084019025167
812.19101897536;primed;1;17.3130348523458
819.995889536959;primed;1;16.8161892096202
827.800760098558;primed;1;16.3187515735626
835.605630660158;primed;1;15.8215736548106
843.410501221757;primed;1;15.3255383173625
851.215371783356;primed;1;14.8315209547679
859.020242344956;primed;1;14.3404823144277
866.825112906555;primed;1;13.8534229596456
874.629983468154;primed;1;13.3713525136312
882.434854029753;primed;1;12.8953537940979
890.239724591353;primed;1;12.4264183044434
898.044595152952;primed;1;11.9655427932739
905.849465714551;primed;1;11.5136666297913
913.65433627615;primed;1;11.0716678301493
921.459206837749;primed;1;10.6403195063273
929.264077399349;primed;1;10.2203288078308
937.068947960948;primed;1;9.81233898798625
944.873818522548;primed;1;9.41691986719767
952.678689084147;primed;1;9.03458404541016
960.483559645746;primed;1;8.66579421361287
968.288430207345;primed;1;8.31095377604167
976.093300768944;primed;1;7.97042846679688
983.898171330544;primed;1;7.64456987380981
991.703041892143;primed;1;7.33366616566976
999.507912453742;primed;1;7.03791745503743
1007.31278301534;primed;1;6.7575040658315
1015.11765357694;primed;1;6.49248147010803
1022.92252413854;primed;1;6.24276431401571
1030.72739470014;primed;1;6.00818181037903
1038.53226526174;primed;1;5.7883517742157
1046.33713582334;primed;1;5.58269802729289
1054.14200638494;primed;1;5.39053297042847
1061.94687694654;primed;1;5.21097548802694
1069.75174750814;primed;1;5.04298424720764
1077.55661806973;primed;1;4.88547086715698
1085.36148863133;primed;1;4.73723181088765
1093.16635919293;primed;1;4.59714547793071
1100.97122975453;primed;1;4.46407628059387
1108.77610031613;primed;1;4.33700680732727
1116.58097087773;primed;1;4.2150555451711
1124.38584143933;primed;1;4.09754729270935
1132.19071200093;primed;1;3.98398423194885
1139.99558256253;primed;1;3.87416251500448
1147.80045312413;primed;1;3.76815994580587
1155.60532368573;primed;1;3.66639876365662
1163.41019424733;primed;1;3.569628794988
1171.21506480893;primed;1;3.47909728686015
1179.01993537052;primed;1;3.39641157786051
1186.82480593212;primed;1;3.32354688644409
1194.62967649372;primed;1;3.26276222864787
1202.43454705532;primed;1;3.21616148948669
1210.23941761692;primed;1;3.18540716171265
1218.04428817852;primed;1;3.17136629422506
1225.84915874012;primed;1;3.17411041259766
1233.65402930172;primed;1;3.19316188494364
1241.45889986332;primed;1;3.22771072387695
1249.26377042492;primed;1;3.27688654263814
1257.06864098652;primed;1;3.33973169326782
1264.87351154812;primed;1;3.41527263323466
1272.67838210972;primed;1;3.50248416264852
1280.48325267132;primed;1;3.60023562113444
1288.28812323291;primed;1;3.70729351043701
1296.09299379451;primed;1;3.82233675320943
1303.89786435611;primed;1;3.94396201769511
1311.70273491771;primed;1;4.07064739863078
1319.50760547931;primed;1;4.20095539093018
1327.31247604091;primed;1;4.33347821235657
1335.11734660251;primed;1;4.46698665618896
1342.92221716411;primed;1;4.60060222943624
1350.72708772571;primed;1;4.73388616243998
1358.53195828731;primed;1;4.86698929468791
1366.33682884891;primed;1;5.00049805641174
1374.14169941051;primed;1;5.13497392336528
1381.94656997211;primed;1;5.27011966705322
1389.7514405337;primed;1;5.40401752789815
1397.5563110953;primed;1;5.53322235743205
1405.3611816569;primed;1;5.65346876780192
1413.1660522185;primed;1;5.7605980237325
1420.9709227801;primed;1;5.85109790166219
1428.7757933417;primed;1;5.92229564984639
1436.5806639033;primed;1;5.97228407859802
1444.3855344649;primed;1;5.99985933303833
1452.1904050265;primed;1;6.00448632240295
1459.9952755881;primed;1;5.98607476552327
1467.8001461497;primed;1;5.94507654507955
1475.6050167113;primed;1;5.88235060373942
1483.4098872729;primed;1;5.79913838704427
1491.2147578345;primed;1;5.69705168406169
1499.01962839609;primed;1;5.5780074596405
1506.82449895769;primed;1;5.44416292508443
1514.62936951929;primed;1;5.29796099662781
1522.43424008089;primed;1;5.142005443573
1530.23911064249;primed;1;4.97906422615051
1538.04398120409;primed;1;4.81196045875549
1545.84885176569;primed;1;4.6436071395874
1553.65372232729;primed;1;4.47688301404317
1561.45859288889;primed;1;4.31459943453471
1569.26346345049;primed;1;4.15943646430969
1577.06833401209;primed;1;4.01393572489421
1584.87320457369;primed;1;3.88039533297221
